形式	資料	識別子	資料名	URL	チェック
HTML	アイヌ語アーカイブ	C0060	民話(ｱ)人間に火を授けた女神（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0060	未了
HTML	アイヌ語アーカイブ	C0062	織田ステノさんの民話(ｱ) 姉に虐待された娘とオコジョ神（1988）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0062	未了
HTML	アイヌ語アーカイブ	C0063	織田ステノさんの民話(ｱ) 居候の男に言い寄られメス馬にされた奥さん（1988）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0063	未了
HTML	アイヌ語アーカイブ	C0064	織田ステノさんの民話(ｱ) 村長の息子と貧乏人の娘（1988）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0064	未了
HTML	アイヌ語アーカイブ	C0065	織田ステノさんの民話(ｱ) 悪い姉に殺されそうになったが滝の神に助けられた娘（1988）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0065	未了
HTML	アイヌ語アーカイブ	C0066	織田ステノさんの民話(ｱ) ペナウンペの釣りざお（1988）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0066	未了
HTML	アイヌ語アーカイブ	C0067	織田ステノさんの民話(ｱ) ペナウンペの物干しざお（1988）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0067	未了
HTML	アイヌ語アーカイブ	C0068	織田ステノさんの民話(ｱ) イヌエンジュの神に助けられた娘の話（1988）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0068	未了
HTML	アイヌ語アーカイブ	C0069	織田ステノさんのユーカﾗ語り(ｱ) オオカミ神の娘がポイヤウンペの息子を育てる（1988）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0069	未了
HTML	アイヌ語アーカイブ	C0071	織田ステノさんの民話(ｱ) クマの夜襲を察知した石狩の勇気ある末娘（1977）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0071	未了
HTML	アイヌ語アーカイブ	C0072	織田ステノさんの民話(ｱ) 姉に虐待され犬になった娘がオコジョ神に助けられる（1977）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0072	未了
HTML	アイヌ語アーカイブ	C0073	織田ステノさんのユーカﾗ(ｱ) スマトゥムンチに育てられたトゥンプオルンクㇽ（1977）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0073	未了
HTML	アイヌ語アーカイブ	C0074	織田ステノさんのユーカﾗ(ｱ) カンナカムイとポイヤウンペの戦い（1978）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0074	未了
HTML	アイヌ語アーカイブ	C0076	民話(ｱ)鵡川の男と石狩の河童の話（1980）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0076	未了
HTML	アイヌ語アーカイブ	C0079	民話(ｱ)犬を粗末に扱った嫁（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0079	未了
HTML	アイヌ語アーカイブ	C0080	民話(ｱ)鍋のおつげ（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0080	未了
HTML	アイヌ語アーカイブ	C0081	神謡語り(ｱ)雷神が好きになった女の子（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0081	未了
HTML	アイヌ語アーカイブ	C0082	民話(ｱ)父に化けた人食いグマ（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0082	未了
HTML	アイヌ語アーカイブ	C0083	民話(ｱ)逃げてきた和人の奥方（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0083	未了
HTML	アイヌ語アーカイブ	C0084	民話(ｱ)狐に化かされた若者を助けた娘（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0084	未了
HTML	アイヌ語アーカイブ	C0085	民話(ｱ)漁場から逃げた石狩びとと猫（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0085	未了
HTML	アイヌ語アーカイブ	C0086	ユーカラ語り(ｱ)カッコン鳥のかぶと（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0086	未了
HTML	アイヌ語アーカイブ	C0087	民話(ｱ)火の女神の嫉妬（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0087	未了
HTML	アイヌ語アーカイブ	C0090	言い伝え(ｱ)竜巻にさらわれた女（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0090	未了
HTML	アイヌ語アーカイブ	C0091	民話(ｱ)伝染病と木の神（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0091	未了
HTML	アイヌ語アーカイブ	C0092	神謡(ｱ)ぬすっとカワウソ（ペナタチチ・パナタチチ）（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0092	未了
HTML	アイヌ語アーカイブ	C0093	民話(ｱ)交易先で和人にさらわれた妹（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0093	未了
HTML	アイヌ語アーカイブ	C0094	民話(ｱ)死んだ若妻の怒り（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0094	未了
HTML	アイヌ語アーカイブ	C0096	民話(ｱ)金の魚、銀の魚（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0096	未了
HTML	アイヌ語アーカイブ	C0097	民話(ｱ)山奥で暮らす老夫婦と犬（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0097	未了
HTML	アイヌ語アーカイブ	C0098	民話(ｱ)犬と一緒に育てられた少年（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0098	未了
HTML	アイヌ語アーカイブ	C0099	言い伝え(ｱ)大沼の大蛇（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0099	未了
HTML	アイヌ語アーカイブ	C0102	織田ステノさんの民話(ｱ) ニコㇿマメを授けた女神（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0102	未了
HTML	アイヌ語アーカイブ	C0103	民話(ｱ)若夫婦の立派な家（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0103	未了
HTML	アイヌ語アーカイブ	C0104	民話(ｱ)兄と交易に行った妹（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0104	未了
HTML	アイヌ語アーカイブ	C0108	ユーカラ語り(ｱ)移動の宝、透視の宝（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0108	未了
HTML	アイヌ語アーカイブ	C0109	言い伝え(ｱ)エゾリスの知らせ（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0109	未了
HTML	アイヌ語アーカイブ	C0110	織田ステノさんの民話(ｱ) 行方不明になった子供が木の神に助けられた（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0110	未了
HTML	アイヌ語アーカイブ	C0111	織田ステノさんの民話(ｱ) いつの間にか子供ができ、置き去りにされた娘（1982）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0111	未了
HTML	アイヌ語アーカイブ	C0112	民話(ｱ)オタスッ村の忘れ形見（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0112	未了
HTML	アイヌ語アーカイブ	C0113	民話(ｱ)猫の悪だくみとニワトリ（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0113	未了
HTML	アイヌ語アーカイブ	C0114	神謡(ｱ)ハチの姉妹と雷神（シﾘクンパト）（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0114	未了
HTML	アイヌ語アーカイブ	C0115	民話(ｱ)星のしずくを切る、雲のしずくを切る神（部分）（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0115	未了
HTML	アイヌ語アーカイブ	C0116	神謡(ｱ)カワウソと倉の魚（ペナタチチ・パナタチチ）（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0116	未了
HTML	アイヌ語アーカイブ	C0117	民話(ｱ)パナウンペの釣りざお（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0117	未了
HTML	アイヌ語アーカイブ	C0118	民話(ｱ)６ついろりがある家に住む村長（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0118	未了
HTML	アイヌ語アーカイブ	C0119	ユーカラ語り(ｱ)砂漠の戦争（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0119	未了
HTML	アイヌ語アーカイブ	C0120	民話(ｱ)妻の病気と屋根に生えた木（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0120	未了
HTML	アイヌ語アーカイブ	C0122	民話(ｱ)クマと一緒に逃げた娘（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0122	未了
HTML	アイヌ語アーカイブ	C0123	神謡(ｱ)カワウソと倉の魚（ペナタチチ・パナタチチ）（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0123	未了
HTML	アイヌ語アーカイブ	C0124	神謡(ｱ)神の娘に恋をした（エイノ）（1983）	https://ainugo.nam.go.jp/search_ajax/ainu_text?contCd=C0124	未了
